,Wirral,,Bradford,Rutland,Greenwich,Argyll and Bute,South Lanarkshire,Fife,Halton,Pseudo (Channel Islands),South Gloucestershire,Wandsworth,Caerphilly,Isle of Wight,Windsor and Maidenhead,Tower Hamlets,Barnet,Suffolk,Hackney,Bath and North East Somerset,Glasgow City,Nottinghamshire,Belfast,Middlesbrough,Denbighshire,Kent,Cambridgeshire,"Bournemouth, Christchurch and Poole",Bolton,Doncaster,North Tyneside,Wakefield,Monmouthshire,Vale of Glamorgan,Isles of Scilly,Northumberland,Hampshire,Blackburn with Darwen,Cardiff,Wolverhampton,Leeds,Isle of Anglesey,Bury,Stoke-on-Trent,Warrington,Cheshire West and Chester,Medway,Clackmannanshire,North East Lincolnshire,Renfrewshire,Aberdeen City,Ealing,Salford,Walsall,Oxfordshire,"Kingston upon Hull, City of",Solihull,Dorset,Powys,Bexley,Worcestershire,Swansea,Lewisham,Inverclyde,East Riding of Yorkshire,Blackpool,Coventry,Haringey,Lincolnshire,Buckinghamshire,Wrexham,Pembrokeshire,Derby,Islington,Aberdeenshire,Sutton,South Ayrshire,Knowsley,Staffordshire,Stockport,Hillingdon,Rhondda Cynon Taf,Brent,Milton Keynes,Southwark,North Somerset,Manchester,Redbridge,Gloucestershire,Darlington,Wokingham,Oldham,Nottingham,Neath Port Talbot,Wiltshire,Cornwall,Ceredigion,Stirling,Antrim and Newtownabbey,"Herefordshire, County of",Somerset,Rotherham,North Yorkshire,West Berkshire,Sefton,Portsmouth,Scottish Borders,Liverpool,Merthyr Tydfil,Birmingham,Kingston upon Thames,Havering,Warwickshire,Camden,Dudley,Calderdale,Southampton,"Bristol, City of",Kirklees,Shropshire,Derbyshire,Trafford,East Lothian,East Renfrewshire,Fermanagh and Omagh,Southend-on-Sea,Torbay,Cheshire East,Bedford,Bracknell Forest,Sheffield,Telford and Wrekin,Essex,North Lincolnshire,Newham,East Dunbartonshire,Luton,Lisburn and Castlereagh,Highland,Plymouth,Derry City and Strabane,Swindon,Cumbria,Bridgend,Barnsley,Devon,East Ayrshire,Dumfries and Galloway,St. Helens,Waltham Forest,South Tyneside,Newcastle upon Tyne,Croydon,West Lothian,Gateshead,"Armagh City, Banbridge and Craigavon",Central Bedfordshire,Lambeth,Hammersmith and Fulham,Hartlepool,North Ayrshire,Barking and Dagenham,Rochdale,Gwynedd,Wigan,Brighton and Hove,Carmarthenshire,City of London,Causeway Coast and Glens,Thurrock,Sandwell,North Lanarkshire,Norfolk,Surrey,Moray,Stockton-on-Tees,Redcar and Cleveland,Bromley,Peterborough,Tameside,Ards and North Down,County Durham,Mid Ulster,Flintshire,York,Hounslow,Reading,Northamptonshire,East Sussex,Kensington and Chelsea,Perth and Kinross,City of Edinburgh,Hertfordshire,Leicestershire,Conwy,Harrow,Leicester,Lancashire,Newport,Sunderland,Enfield,Richmond upon Thames,West Sussex,"Newry, Mourne and Down",Slough,Angus,West Dunbartonshire,Westminster,Falkirk,Merton,Blaenau Gwent,Dundee City
10,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,,0.0,,
11,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,
12,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,
13,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,,
14,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,
15,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,
16,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,
17,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,
18,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,
19,0.0,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,
20,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,
21,0.0,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,
22,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,
23,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,
24,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,
25,0.0,,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,
